member_id,cycle_year,join_year,tenure_years,member_age,country,chapter,membership_type,dues_amount,auto_renew_flag,events_12m,webinars_12m,courses_12m,website_sessions_90d,committee_member_flag,committee_leadership_flag,committee_leadership_role,committee_meetings_12m,community_logins_90d,email_open_rate,email_click_rate,support_tickets_12m,complaints_12m,donation_amount_12m,failed_payment_flag,invoice_age_days,renewal_due_date,renewal_date,label_renewed_within_60d,renewed_prev_year
M000001,2022,2017,5,61,USA,Southwest,Retired,94.13,0,3,0,2,3,0,0,,0,1,0.253,0.064,0,0,0.0,0,111,2022-09-05,,0,0
M000001,2023,2017,6,61,USA,Southwest,Retired,91.96,0,4,5,0,2,1,0,,7,2,0.258,0.066,0,0,0.0,0,34,2023-01-13,,0,0
M000001,2024,2017,7,61,USA,Southwest,Retired,99.86,0,1,1,2,3,0,0,,0,0,0.263,0.068,0,0,232.93,0,40,2024-01-31,2024-02-07,1,0
M000002,2022,2009,13,64,USA,International,Nonprofit,468.46,0,4,2,3,1,0,0,,0,0,0.242,0.055,0,0,0.0,0,62,2022-12-03,,0,0
M000002,2023,2009,14,64,USA,International,Nonprofit,470.85,0,2,1,2,4,0,0,,0,1,0.247,0.057,1,1,44.43,0,42,2023-08-26,,0,0
M000002,2024,2009,15,64,USA,International,Nonprofit,479.87,0,2,3,0,1,0,0,,0,1,0.252,0.059,0,0,0.0,0,106,2024-02-10,2024-02-28,1,0
M000003,2022,2009,13,79,Canada,Northeast,Individual,183.88,0,2,3,1,1,1,0,,11,2,0.262,0.065,0,0,0.0,0,109,2022-04-18,,0,0
M000003,2023,2009,14,79,Canada,Northeast,Individual,190.47,0,7,1,2,4,0,0,,0,1,0.267,0.067,0,0,0.0,0,67,2023-10-14,2023-11-05,1,0
M000003,2024,2009,15,79,Canada,Northeast,Individual,188.98,0,1,1,1,2,0,0,,0,3,0.272,0.069,0,0,0.0,0,34,2024-05-14,,0,1
M000004,2022,2011,11,56,USA,Southwest,Corporate,896.52,0,0,4,0,2,0,0,,0,5,0.262,0.065,0,1,68.84,0,30,2022-07-23,2022-09-11,1,0
M000004,2023,2011,12,56,USA,Southwest,Corporate,939.57,0,2,4,1,2,0,0,,0,1,0.267,0.067,0,0,0.0,0,28,2023-07-01,,0,1
M000004,2024,2011,13,56,USA,Southwest,Corporate,955.8,0,3,2,0,4,0,0,,0,2,0.272,0.069,0,0,303.75,0,84,2024-09-07,,0,0
M000005,2022,2022,0,45,India,International,Individual,179.29,1,0,0,1,2,0,0,,0,1,0.063,0.0,0,0,0.0,0,96,2022-01-07,,0,0
M000005,2023,2022,1,45,India,International,Individual,193.99,1,1,1,0,3,0,0,,0,1,0.068,0.0,0,1,0.0,0,36,2023-11-06,2023-12-23,1,0
M000005,2024,2022,2,45,India,International,Individual,188.63,1,1,1,0,1,0,0,,0,2,0.073,0.0,0,0,78.03,0,1,2024-11-04,2024-11-20,1,1
M000006,2022,2018,4,65,India,West,Corporate,865.39,0,3,2,1,2,0,0,,0,3,0.155,0.016,0,0,0.0,0,63,2022-09-06,,0,0
M000006,2023,2018,5,65,India,West,Corporate,921.37,0,1,0,1,1,0,0,,0,1,0.16,0.018,0,1,0.0,0,113,2023-05-24,,0,0
M000006,2024,2018,6,65,India,West,Corporate,961.8,0,0,4,0,0,0,0,,0,4,0.165,0.02,0,0,0.0,0,0,2024-05-18,,0,0
M000007,2022,2019,3,76,USA,West,Individual,172.96,1,0,0,1,3,0,0,,0,2,0.164,0.021,0,0,237.31,0,0,2022-02-12,2022-02-22,1,0
M000007,2023,2019,4,76,USA,West,Individual,183.33,1,2,5,1,2,0,0,,0,0,0.169,0.023,0,0,0.0,0,70,2023-12-05,2023-12-15,1,1
M000007,2024,2019,5,76,USA,West,Individual,195.43,1,2,3,0,2,0,0,,0,3,0.174,0.025,1,0,0.0,0,5,2024-10-13,2024-11-14,1,1
M000008,2022,2010,12,53,Canada,Southwest,Individual,176.7,1,2,0,0,1,0,0,,0,2,0.229,0.049,0,0,0.0,0,112,2022-12-02,2022-12-04,1,0
M000008,2023,2010,13,53,Canada,Southwest,Individual,180.38,1,2,0,2,4,0,0,,0,1,0.234,0.051,0,0,228.61,0,36,2023-08-14,,0,1
M000008,2024,2010,14,53,Canada,Southwest,Individual,191.9,1,2,4,1,4,0,0,,0,1,0.239,0.053,0,0,0.0,0,16,2024-12-18,2025-01-16,1,0
M000009,2022,2014,8,52,USA,Mid-Atlantic,Individual,181.55,1,1,4,0,3,0,0,,0,1,0.269,0.07,1,0,0.0,0,94,2022-01-06,2022-02-15,1,0
M000009,2023,2014,9,52,USA,Mid-Atlantic,Individual,192.06,1,5,1,1,4,0,0,,0,2,0.274,0.072,0,0,222.26,0,99,2023-04-22,2023-06-04,1,1
M000009,2024,2014,10,52,USA,Mid-Atlantic,Individual,185.65,1,3,1,2,8,1,0,,3,3,0.279,0.074,0,0,0.0,0,100,2024-10-11,2024-12-01,1,1
M000010,2022,2008,14,50,USA,West,Premium,335.99,1,3,2,1,2,1,0,,9,6,0.342,0.104,0,0,0.0,0,27,2022-12-11,,0,0
M000010,2023,2008,15,50,USA,West,Premium,365.94,1,3,3,3,3,0,0,,0,4,0.347,0.106,1,0,0.0,0,110,2023-12-25,,0,0
M000010,2024,2008,16,50,USA,West,Premium,343.27,1,3,4,0,2,0,0,,0,6,0.352,0.108,0,0,174.49,0,15,2024-08-13,2024-09-14,1,0
