member_id,cycle_year,join_year,tenure_years,member_age,country,chapter,membership_type,dues_amount,auto_renew_flag,events_12m,webinars_12m,courses_12m,website_sessions_90d,committee_member_flag,committee_leadership_flag,committee_leadership_role,committee_meetings_12m,community_logins_90d,email_open_rate,email_click_rate,support_tickets_12m,complaints_12m,donation_amount_12m,failed_payment_flag,invoice_age_days,renewal_due_date,renewal_date,label_renewed_within_60d,renewed_prev_year
M000001,2025,2017,8,61,USA,Southwest,Retired,90.18,0,2,1,0,1,1,1,Treasurer,11,2,0.268,0.07,0,0,0.0,0,61,2025-07-06,,,1
M000002,2025,2009,16,64,USA,International,Nonprofit,493.79,0,7,2,2,2,1,0,,5,3,0.257,0.061,0,1,0.0,0,108,2025-12-23,,,1
M000003,2025,2009,16,79,Canada,Northeast,Individual,199.31,0,5,3,0,2,0,0,,0,3,0.277,0.071,0,0,0.0,0,44,2025-10-05,,,0
M000004,2025,2011,14,56,USA,Southwest,Corporate,1020.12,0,4,3,0,5,0,0,,0,6,0.277,0.071,0,0,0.0,0,79,2025-12-15,,,0
M000005,2025,2022,3,45,India,International,Individual,203.29,1,0,0,2,0,0,0,,0,1,0.078,0.0,1,0,0.0,0,49,2025-04-01,,,1
M000006,2025,2018,7,65,India,West,Corporate,972.89,0,2,1,2,5,0,0,,0,1,0.17,0.022,0,0,0.0,0,79,2025-04-28,,,0
M000007,2025,2019,6,76,USA,West,Individual,200.87,1,2,1,0,1,0,0,,0,0,0.179,0.027,0,0,0.0,0,70,2025-08-11,,,1
M000008,2025,2010,15,53,Canada,Southwest,Individual,196.69,1,5,2,0,3,0,0,,0,2,0.244,0.055,0,0,0.0,0,41,2025-07-29,,,1
M000009,2025,2014,11,52,USA,Mid-Atlantic,Individual,203.22,1,5,3,2,6,0,0,,0,3,0.284,0.076,0,0,0.0,0,100,2025-12-08,,,1
M000010,2025,2008,17,50,USA,West,Premium,350.76,1,5,5,0,7,0,0,,0,3,0.357,0.11,0,0,270.02,0,12,2025-03-12,,,1
M000011,2025,2008,17,78,USA,Midwest,Individual,199.53,0,5,1,4,0,0,0,,0,1,0.282,0.073,0,0,194.37,0,20,2025-04-22,,,1
M000012,2025,2018,7,36,UK,Midwest,Nonprofit,466.18,1,0,3,4,4,0,0,,0,3,0.225,0.049,1,0,50.22,0,7,2025-10-23,,,0
M000013,2025,2012,13,79,USA,At-Large,Individual,193.96,0,5,3,2,4,0,0,,0,2,0.226,0.046,0,0,0.0,0,103,2025-02-20,,,1
M000014,2025,2009,16,62,Germany,At-Large,Individual,194.5,0,6,2,3,5,0,0,,0,1,0.255,0.06,0,0,0.0,0,34,2025-03-02,,,1
M000015,2025,2016,9,50,USA,International,Student,57.19,0,0,1,0,0,0,0,,0,2,0.169,0.02,0,0,0.0,0,67,2025-01-28,,,0
M000016,2025,2015,10,32,USA,Southwest,Corporate,1012.22,0,3,3,0,0,0,0,,0,4,0.133,0.002,1,0,199.51,0,17,2025-02-23,,,1
M000017,2025,2015,10,31,Australia,Mid-Atlantic,Corporate,1006.92,0,5,2,1,5,0,0,,0,2,0.331,0.1,0,0,112.13,0,6,2025-01-14,,,0
M000018,2025,2021,4,23,UK,Northeast,Individual,195.29,1,1,1,0,3,0,0,,0,3,0.198,0.037,0,1,0.0,0,23,2025-05-25,,,1
