member_id,renewal_probability,risk_level,action_type,priority,channel,message_template,recommended_offer,timeline
M000810,24.7,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M000095,24.8,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M001061,24.9,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002486,25.1,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003442,25.1,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002040,25.7,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003960,26.3,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002514,26.5,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M000454,27.2,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002622,27.2,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M000380,27.3,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M000908,27.4,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002765,28.0,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003550,28.0,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M001266,28.1,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M000771,28.4,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M000276,28.5,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002004,28.5,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003608,28.5,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M001744,28.6,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M000536,29.1,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M001827,29.2,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003858,29.2,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003873,29.2,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002318,29.3,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002255,29.5,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M002437,30.0,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003630,30.5,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003977,30.9,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003302,31.2,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M001370,31.3,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M000231,31.4,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003797,31.4,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
M003228,31.6,High Risk,Personal Outreach,High,Phone Call + Email,personal_retention_call,Discount or flexible payment,Immediate (within 7 days)
